Date/Time,Wind Speed (m/s),LV ActivePower (kW),Theoretical_Power_Curve (KWh),Wind Direction (°),,,
01 01 2018 00:00,5.31,380.0477905,416.3289078,259.9949036,,,5.31
01 01 2018 00:10,5.67,453.7691956,519.9175111,268.6411133,,,5.67
01 01 2018 00:20,5.22,306.3765869,390.9000158,272.5647888,,,5.22
01 01 2018 00:30,5.66,419.6459045,516.127569,271.2580872,,,5.66
01 01 2018 00:40,5.58,380.6506958,491.702972,265.6742859,,,5.58
01 01 2018 00:50,5.6,402.3919983,499.436385,264.5786133,,,5.6
01 01 2018 01:00,5.79,447.6057129,557.3723633,266.1636047,,,5.79
01 01 2018 01:10,5.31,387.2421875,414.8981788,257.9494934,,,5.31
01 01 2018 01:20,5.58,463.6512146,493.6776521,253.4806976,,,5.58
01 01 2018 01:30,5.52,439.725708,475.7067828,258.7237854,,,5.52
01 01 2018 01:40,5.72,498.1817017,535.841397,251.8509979,,,5.72
01 01 2018 01:50,5.93,526.8162231,603.0140765,265.5046997,,,5.93
01 01 2018 02:00,6.55,710.5872803,824.6625136,274.2329102,,,6.55
01 01 2018 02:10,6.2,655.1942749,693.4726411,266.7331848,,,6.2
01 01 2018 02:20,6.51,754.7625122,808.0981385,266.7604065,,,6.51
01 01 2018 02:30,6.63,790.1732788,859.4590208,270.4931946,,,6.63
01 01 2018 02:40,6.38,742.9852905,759.4345366,266.5932922,,,6.38
01 01 2018 02:50,6.45,748.2296143,785.2810099,265.5718079,,,6.45
01 01 2018 03:00,6.42,736.6478271,773.1728635,261.1586914,,,6.42
01 01 2018 03:10,6.44,787.2462158,781.7712157,257.5602112,,,6.44
01 01 2018 03:20,6.22,722.8640747,700.7646999,255.9264984,,,6.22
01 01 2018 03:30,6.9,935.0333862,970.7366269,250.0128937,,,6.9
01 01 2018 03:40,7.61,1220.609009,1315.048928,255.9857025,,,7.61
01 01 2018 03:50,7.29,1053.771973,1151.265744,255.4445953,,,7.29
01 01 2018 04:00,7.94,1493.807983,1497.583724,256.4074097,,,7.94
01 01 2018 04:10,8.38,1724.488037,1752.199662,252.4125977,,,8.38
01 01 2018 04:20,8.24,1636.935059,1668.470707,247.9794006,,,8.24
01 01 2018 04:30,7.88,1385.488037,1461.815791,238.6096039,,,7.88
01 01 2018 04:40,7.1,1098.932007,1062.285034,245.0955963,,,7.1
01 01 2018 04:50,6.96,1021.458008,995.9958546,245.410202,,,6.96
01 01 2018 05:00,7.1,1164.892944,1060.859712,235.2279053,,,7.1
01 01 2018 05:10,6.95,1073.332031,995.2509608,242.8726959,,,6.95
01 01 2018 05:20,7.25,1165.307983,1132.416861,244.8356934,,,7.25
01 01 2018 05:30,7.29,1177.98999,1154.365305,242.4815979,,,7.29
01 01 2018 05:40,7.38,1170.536011,1194.843099,247.9772034,,,7.38
01 01 2018 05:50,7.45,1145.536011,1231.430706,249.6829987,,,7.45
01 01 2018 06:00,7.24,1114.026978,1127.433206,248.401001,,,7.24
01 01 2018 06:10,7.33,1153.185059,1171.355044,244.6217041,,,7.33
01 01 2018 06:20,7.14,1125.331055,1080.139085,244.6318054,,,7.14
01 01 2018 06:30,7.47,1228.732056,1244.633534,245.7859955,,,7.47
01 01 2018 06:40,7.03,1021.79303,1030.992686,248.6522064,,,7.03
01 01 2018 06:50,6.89,957.3781738,965.6833344,244.6116943,,,6.89
01 01 2018 07:00,6.89,909.8878174,966.2791049,235.8482971,,,6.89
01 01 2018 07:10,7.22,1000.953979,1116.471899,232.8426971,,,7.22
01 01 2018 07:20,7.07,1024.478027,1047.170231,229.933197,,,7.07
01 01 2018 07:30,6.94,1009.533997,988.4519407,230.1367035,,,6.94
01 01 2018 07:40,6.54,899.492981,820.4166586,234.9338074,,,6.54
01 01 2018 07:50,6.18,725.1101074,686.6369422,232.8379059,,,6.18
01 01 2018 08:00,5.82,585.2593994,564.9276595,240.3287964,,,5.82
01 01 2018 08:10,5.45,443.9139099,454.7735871,238.126297,,,5.45
01 01 2018 08:20,5.82,565.2537842,565.3490932,235.800293,,,5.82
01 01 2018 08:30,6.13,644.0377808,668.8235693,224.9586945,,,6.13
01 01 2018 08:40,6.35,712.0588989,747.4606734,216.803894,,,6.35
01 01 2018 08:50,6.35,737.3947754,747.5951091,205.7852936,,,6.35
01 01 2018 09:00,6.19,725.868103,691.5463343,199.8484955,,,6.19
01 01 2018 09:10,4.98,408.997406,330.4176304,207.9978027,,,4.98
01 01 2018 09:20,5.96,628.4368286,611.2838365,210.954895,,,5.96
01 01 2018 09:30,6.21,716.1005859,697.6494744,215.6940002,,,6.21
01 01 2018 09:40,6.11,711.4956055,662.235163,220.8426056,,,6.11
01 01 2018 09:50,6.46,838.1519165,789.0114224,237.0653076,,,6.46
01 01 2018 10:00,6.67,881.0620728,872.7396259,235.6674957,,,6.67
01 01 2018 10:10,6.16,663.703125,680.3278917,229.3296967,,,6.16
01 01 2018 10:20,6.01,578.2615967,628.4425608,234.9006042,,,6.01
01 01 2018 10:30,5.56,465.6200867,486.7795676,230.4228058,,,5.56
01 01 2018 10:40,4.96,311.0509033,326.4110254,229.5375061,,,4.96
01 01 2018 10:50,4.6,230.0554962,244.3162442,231.7984924,,,4.6
01 01 2018 11:00,4.55,233.9906006,233.6327805,234.1056061,,,4.55
01 01 2018 11:10,4.26,175.5921936,173.5736631,228.7767029,,,4.26
01 01 2018 11:20,3.89,118.1331024,108.5712211,227.9389954,,,3.89
01 01 2018 11:30,4.04,142.2024994,130.2299896,224.4649963,,,4.04
01 01 2018 11:40,4.51,212.5661926,223.1967841,224.9505005,,,4.51
01 01 2018 11:50,4.54,222.6100006,231.2425073,229.127594,,,4.54
01 01 2018 12:00,4.32,194.1811981,185.5984796,227.0399933,,,4.32
01 01 2018 12:10,3.63,82.64074707,68.5028198,230.3146057,,,3.63
01 01 2018 12:20,3.71,75.8952179,78.39616535,233.9532928,,,3.71
01 01 2018 12:30,0,41.94723892,29.28695563,233.0659027,,,3.25
01 01 2018 12:40,3.78,118.5345993,88.87136533,227.7534943,,,3.78
01 01 2018 12:50,4.69,250.7559052,264.1192574,229.8966064,,,4.69
01 01 2018 13:00,5,346.8644104,336.7219982,235.2794952,,,5
01 01 2018 13:10,5.36,416.4179077,430.921089,235.5852966,,,5.36
01 01 2018 13:20,5.02,331.9414978,339.9849402,229.9429016,,,5.02
01 01 2018 13:30,5.97,583.4799194,615.0556308,235.6952972,,,5.97
01 01 2018 13:40,6.66,776.5526733,868.1808449,241.4573975,,,6.66
01 01 2018 13:50,6.6,752.7263794,846.0294095,242.7821045,,,6.6
01 01 2018 14:00,5.98,589.0731201,618.7314427,234.9844055,,,5.98
01 01 2018 14:10,7.42,1109.128052,1219.199787,235.1472931,,,7.42
01 01 2018 14:20,8.19,1482.459961,1638.508909,238.4790955,,,8.19
01 01 2018 14:30,8.27,1523.430054,1691.147039,237.0332031,,,8.27
01 01 2018 14:40,8.45,1572.170044,1796.76309,238.3323975,,,8.45
01 01 2018 14:50,8.58,1698.939941,1875.047197,235.6414032,,,8.58
01 01 2018 15:00,8.28,1616.845947,1695.538777,236.4613953,,,8.28
01 01 2018 15:10,8.73,1796.823975,1974.4758,234.3547974,,,8.73
01 01 2018 15:20,8.76,1885.860962,1993.170712,231.0016022,,,8.76
01 01 2018 15:30,9.67,2327.511963,2568.827129,227.6000977,,,9.67
01 01 2018 15:40,10.14,2499.162109,2876.753616,227.7315979,,,10.14
01 01 2018 15:50,10.77,2820.512939,3186.029883,225.2763977,,,10.77
01 01 2018 16:00,10.65,2812.279053,3133.259224,224.680603,,,10.65
01 01 2018 16:10,9.98,2530.447021,2781.274041,225.5195007,,,9.98
01 01 2018 16:20,9.87,2399.121094,2711.492458,227.2738037,,,9.87
01 01 2018 16:30,9.79,2335.587891,2651.341009,229.2554932,,,9.79
01 01 2018 16:40,9.61,2341.133057,2527.945451,230.7368927,,,9.61
01 01 2018 16:50,9.62,2391.8479,2531.14794,229.490799,,,9.62
01 01 2018 17:00,9.1,2118.389893,2207.79282,223.960907,,,9.1
01 01 2018 17:10,8.68,1866.845947,1938.478601,219.7937012,,,8.68
01 01 2018 17:20,8.77,1865.619019,2000.011716,219.0449066,,,8.77
01 01 2018 17:30,8.69,1862.447998,1946.373955,215.3352051,,,8.69
01 01 2018 17:40,8.63,1884.119019,1909.416256,216.2799988,,,8.63
01 01 2018 17:50,8.61,1855.776978,1899.100734,214.5290985,,,8.61
01 01 2018 18:00,9.22,1958.133057,2285.917032,212.1799011,,,9.22
01 01 2018 18:10,10.05,2228.24292,2822.50949,210.3085938,,,10.05
01 01 2018 18:20,10.32,2529.291016,2974.866796,210.5881042,,,10.32
01 01 2018 18:30,10.77,2788.25708,3183.72246,207.4813995,,,10.77
01 01 2018 18:40,10.56,2692.929932,3093.110672,208.5518951,,,10.56
01 01 2018 18:50,10.25,2535.353027,2938.394607,208.0106964,,,10.25
01 01 2018 19:00,10.46,2584.665039,3048.823833,205.7528992,,,10.46
01 01 2018 19:10,11.39,2960.183105,3393.645541,200.6542969,,,11.39
01 01 2018 19:20,11.57,3062.978027,3437.597135,198.1242981,,,11.57
01 01 2018 19:30,11.28,3024.39209,3362.668742,198.5381927,,,11.28
01 01 2018 19:40,11.34,3187.9729,3378.826271,200.4904022,,,11.34
01 01 2018 19:50,11.8,3387.228027,3488.248491,199.2469025,,,11.8
01 01 2018 20:00,11.36,3209.018066,3386.244486,199.8054962,,,11.36
01 01 2018 20:10,11.63,3272.665039,3452.881108,198.2677002,,,11.63
01 01 2018 20:20,11.44,3209.698975,3407.867876,195.6320038,,,11.44
01 01 2018 20:30,11.27,3134.518066,3360.225775,196.6611023,,,11.27
01 01 2018 20:40,11.06,2977.824951,3292.880925,196.5158997,,,11.06
01 01 2018 20:50,12.1,3431.772949,3537.173706,198.2570038,,,12.1
01 01 2018 21:00,12.93,3604.209961,3597.469467,201.5825958,,,12.93
01 01 2018 21:10,13.32,3601.327881,3600,201.9421997,,,13.32
01 01 2018 21:20,13.12,3604.426025,3600,203.5077972,,,13.12
01 01 2018 21:30,13.24,3604.391113,3600,202.6929932,,,13.24
01 01 2018 21:40,13.24,3604.337891,3600,202.9362946,,,13.24
01 01 2018 21:50,13.03,3554.687988,3600,201.2539063,,,13.03
01 01 2018 22:00,12.96,3479.407959,3597.794635,201.3408966,,,12.96
01 01 2018 22:10,12.9,3472.333008,3597.13106,200.9795074,,,12.9
01 01 2018 22:20,12.77,3491.510986,3593.704942,200.9960022,,,12.77
01 01 2018 22:30,12.9,3536.989014,3597.059449,200.5142059,,,12.9
01 01 2018 22:40,12.74,3528.658936,3592.814313,202.8952942,,,12.74
01 01 2018 22:50,12.32,3581.540039,3562.990095,202.841095,,,12.32
01 01 2018 23:00,12.42,3570.079102,3572.556143,202.4118042,,,12.42
01 01 2018 23:10,12.54,3597.604004,3582.204643,201.6253052,,,12.54
01 01 2018 23:20,12.68,3441.025879,3589.945634,199.3220978,,,12.68
01 01 2018 23:30,13,3373.969971,3600,197.1307068,,,13
01 01 2018 23:40,13.3,3369.812988,3600,196.4936066,,,13.3
01 01 2018 23:50,12.84,3375.903076,3595.984792,195.3150024,,,12.84
02 01 2018 00:00,12.71,3377.649902,3591.300461,196.0422058,,,12.71
